ISO,1995,2000,2005,2010
ARG,7.824,8.13139,8.41947,8.69389
ARM,9.839,9.93235,10.1246,10.313
AUS,10.484,10.9811,11.3183,11.7153
AUT,11.228,11.2921,11.336,11.3778
BHS,10.501,10.8206,10.9634,11.1047
BHR,8.937,9.41468,9.61174,9.77938
BGD,4.946,5.71583,6.22723,6.75056
BEL,10.248,10.6997,11.0297,11.3001
BLZ,6.958,7.28426,7.59394,7.88672
BEN,3.54,3.87754,4.42338,4.97673
BOL,9.44,10.182,10.6604,11.0867
BRA,5.286,5.62237,6.00514,6.3734
BGR,10.17,10.4103,10.5599,10.677
BFA,1.488,2.01448,2.4876,2.87337
KHM,5.082,5.38994,5.54224,5.76753
CMR,5.705,6.49485,7.03346,7.56442
CAN,12.317,13.0877,13.1976,13.2662
CAF,4.317,5.0236,5.56266,6.09615
TCD,2.451,3.07061,3.69219,4.24247
CHL,9.838,10.3491,10.6833,11.0171
CHN,7.278,7.76503,8.06849,8.35356
COL,6.301,7.27696,7.70141,8.08802
COM,3.863,4.69248,5.42178,6.09933
CRI,7.205,7.50552,7.75303,8.01948
CIV,3.285,4.03297,4.46479,4.92869
HRV,8.215,8.51316,8.77246,9.0244
CUB,9.231,9.38421,9.60219,9.83853
CYP,9.205,9.61096,9.96978,10.3033
CZE,10.068,10.2367,10.3554,10.4688
DNK,11.739,11.8608,11.9496,12.03
DOM,7.468,7.74485,8.04561,8.34052
ECU,7.214,7.76744,8.08433,8.40164
EGY,5.856,7.02921,7.7136,8.29962
SLV,6.311,6.9294,7.47901,7.92471
ERI,3.348,4.64667,5.67072,6.23306
EST,10.786,10.9736,11.0208,11.0444
ETH,1.433,1.86687,2.20403,2.43504
FJI,12.497,12.612,,
FIN,,12.5323,12.642,12.7554
FRA,8.312,8.83493,9.18751,9.51301
GAB,6.831,7.80111,8.39212,8.935
DEU,13.109,13.1537,13.1763,13.1928
GHA,7.132,7.88853,8.36812,8.82181
GRC,8.067,8.9665,9.3706,9.74452
GRD,2.441,2.753,,
GTM,,5.16423,5.55711,5.97615
GIN,,3.05741,3.50898,4.00251
GUY,8.017,8.30694,8.32393,8.36793
HTI,3.789,4.63456,5.40985,6.15156
HND,4.482,4.72102,4.96682,5.23048
HUN,10.207,10.4861,10.6791,10.8272
IND,5.061,5.54355,5.99735,6.44084
IDN,6.597,7.11451,7.59105,8.01027
IRN,6.146,6.95639,7.64174,8.25008
IRL,9.27,9.9086,10.3723,10.7415
ITA,8.458,8.9809,9.3682,9.71614
JPN,10.545,11.0945,11.4621,11.7992
JOR,6.849,7.46093,8.05219,8.53072
KAZ,9.811,10.5724,10.7553,10.8871
KEN,6.656,7.35935,7.78874,8.15809
KGZ,9.113,9.99474,10.1803,10.4828
LVA,11.045,11.1713,11.237,11.2831
LTU,9.667,10.3089,10.6197,10.8612
LUX,9.681,9.98392,10.1473,10.2834
MKD,7.896,7.89803,8.11335,8.31835
MDG,5.601,5.91074,5.84374,5.84527
MWI,4.797,5.06617,5.45792,5.87641
MYS,7.849,8.56827,9.11566,9.61028
MDV,4.411,5.3669,6.43085,7.39626
MLI,1.734,2.02395,2.32502,2.6765
MLT,8.581,9.37059,9.80724,10.1884
MRT,2.903,3.80218,4.25816,4.66693
MUS,6.913,7.33474,7.65268,7.93251
MEX,7.074,7.7205,8.14111,8.5173
MNG,9.248,9.62274,9.592,9.55218
MAR,3.704,4.3712,4.99766,5.68223
MOZ,2.923,3.1848,3.49419,3.93691
NAM,6.706,6.83813,6.88288,6.95728
NPL,2.866,3.77973,4.61232,5.43217
NLD,10.908,11.1544,11.2963,11.4328
NZL,12.772,12.8004,12.8458,12.8963
NIC,7.466,7.76558,7.99159,8.23862
NER,1.098,1.34204,1.90039,2.40073
NGA,4.878,6.07074,6.78718,7.43642
NOR,12.493,12.671,12.7174,12.755
PAK,4.359,4.78636,5.26982,5.75443
PAN,7.607,8.1696,8.4991,8.8033
PRY,7.088,7.46401,7.82233,8.21939
PER,7.969,8.4914,8.79115,9.06233
PHL,8.082,8.49389,8.82753,9.13241
POL,9.328,9.70954,10.0021,10.2539
PRT,6.04,6.73513,7.28339,7.76399
KOR,10.674,11.4055,11.8522,12.2536
RUS,9.1,9.36912,9.5616,9.70918
RWA,3.868,4.18056,4.70208,5.21209
SAU,7.063,7.65296,8.16724,8.56135
SGP,7.96,8.72916,9.08381,9.41436
SVK,10.191,10.4551,10.6929,10.8868
SVN,10.523,10.7768,10.8781,10.9831
ZAF,6.807,7.33762,7.78433,8.23399
ESP,6.889,7.46647,7.88657,8.24787
LKA,8.939,9.36082,9.73047,10.1941
SWZ,,12.4274,12.4745,12.5155
SWE,9.691,10.4537,10.7865,11.0654
CHE,12.317,12.424,,
SYR,5.634,5.78912,5.95592,6.12384
TZA,4.479,4.70392,4.88143,5.00888
THA,6.596,7.03245,7.47593,7.88642
TGO,4.58,5.2062,5.82476,6.42445
TUR,5.679,6.17052,6.61024,6.96751
TKM,10.253,10.5184,10.6423,10.7215
UGA,5.899,6.6089,6.97592,7.36392
UKR,9.176,9.40791,9.6645,9.88491
GBR,9.042,9.66337,10.0322,10.3817
USA,11.458,11.7215,11.8042,11.8733
URY,7.427,7.69865,7.95353,8.1994
UZB,10.049,10.9404,11.1116,11.2424
VNM,5.673,5.88269,6.04644,6.23022
ZMB,6.817,7.425,7.71652,7.98792
ZWE,7.144,8.09043,8.76079,9.34663
# Series: YRSCMAIN,,,,
"# Name: Mean years of schooling, 25+ years, male",,,,
"# Definition: Provides the average number of years of education completed by a countryâ€™s adult population (25 years and older), excluding years spent repeating grades.",,,,
"# Source: World Bank, IIASA",,,,
# Data from the No Ceilings project: http://noceilings.org,,,,
"# For more about the data, please visit http://noceilings.org/data",,,,
